SName;Building;BuildingPart;Gender;CntAgeCat1;CntAgeCat2;CntAgeCat3;CntAgeCat4;CntAgeCat5;CntAgeCat6;CntAgeCatNull;CntAgeAll
Архипенка О.;26;;female;0;1;0;1;2;3;0;7
Архипенка О.;28;;female;0;1;0;1;0;1;0;3
Архипенка О.;3;;female;1;0;0;2;1;0;0;4
Архипенка О.;30;;female;2;0;0;2;0;2;0;6
Архипенка О.;32;;female;3;4;0;7;2;6;0;22
Архипенка О.;4;;female;1;0;1;3;1;3;0;9
Архипенка О.;5;;female;0;0;1;0;1;3;0;5
Архипенка О.;6;;female;1;1;2;2;2;3;0;11
Архипенка О.;8;;female;1;0;0;4;3;2;0;10
Архипенка О.;9;;female;0;0;1;1;1;2;0;5
Архітекторська;3;;female;1;0;0;6;0;3;0;10
Архітекторська;5;;female;0;0;0;0;1;3;0;4
Архітекторська;7;;female;5;1;0;6;4;3;0;19
Бабія О.;10а;;female;0;0;0;0;1;1;0;2
Бабія О.;11;;female;1;0;0;1;0;2;0;4
Бабія О.;11а;;female;0;0;0;0;0;0;0;0
Бабія О.;11б;;female;0;0;0;0;2;1;0;3
Бабія О.;11в;;female;0;0;0;1;1;1;0;3
Бабія О.;12;;female;0;0;0;1;0;0;0;1
Бабія О.;3;;female;0;0;0;1;0;0;0;1
Бабія О.;4;;female;1;1;0;1;0;1;0;4
Бабія О.;4а;;female;0;1;0;0;0;0;0;1
Бабія О.;5;;female;2;2;0;3;1;2;0;10
Бабія О.;6;;female;0;0;1;0;1;1;0;3
Бабія О.;6а;;female;1;0;0;1;0;0;0;2
Бабія О.;7;;female;0;0;0;0;2;0;0;2
Бабія О.;8;;female;0;0;0;0;0;1;0;1
Бабія О.;9;;female;0;0;0;1;0;0;0;1
Бабія О.;9а;;female;0;0;0;0;1;0;0;1
Бабія О.;9б;;female;0;0;0;0;1;0;0;1
Багалія Д.;13;;female;0;0;0;0;0;1;0;1
Багалія Д.;15;;female;0;0;0;0;0;0;0;0
Багалія Д.;19;;female;0;0;0;1;2;0;0;3
Багалія Д.;21;;female;0;0;0;2;2;1;0;5
Багалія Д.;23;;female;0;0;0;0;0;1;0;1
Багалія Д.;25;;female;0;0;0;0;0;1;0;1
Багалія Д.;27;;female;1;2;0;2;1;0;0;6
Багалія Д.;29;;female;0;0;0;2;0;1;0;3
Багалія Д.;3;;female;1;2;0;0;0;1;0;4
Багалія Д.;3а;;female;0;0;0;1;1;0;0;2
Багалія Д.;6;;female;3;3;0;4;1;2;0;13
Багряного І.;1;;female;1;0;0;1;0;1;0;3
Багряного І.;10а;;female;0;0;0;1;0;0;0;1
Багряного І.;11;;female;0;0;0;0;0;1;0;1
Багряного І.;12;;female;0;1;0;1;0;1;0;3
Багряного І.;13;;female;0;0;0;0;0;1;0;1
Багряного І.;15;;female;1;0;0;1;0;0;0;2
Багряного І.;16;;female;0;2;1;0;2;2;0;7
Багряного І.;17;;female;1;0;0;1;1;1;0;4
Багряного І.;18;;female;0;0;0;0;0;0;0;0
Багряного І.;19;;female;1;0;0;2;2;0;0;5
Багряного І.;20;;female;1;0;0;1;0;0;0;2
Багряного І.;22;;female;0;0;0;0;0;1;0;1
Багряного І.;24;;female;0;0;0;0;1;0;0;1
Багряного І.;26;;female;0;0;0;2;0;0;0;2
Багряного І.;28;;female;0;0;0;1;0;1;0;2
Багряного І.;29;;female;0;3;2;2;4;1;0;12
Багряного І.;3;;female;0;2;0;0;1;1;0;4
Багряного І.;30;;female;0;1;0;1;1;1;0;4
Багряного І.;31;;female;0;0;0;1;0;0;0;1
Багряного І.;32;;female;0;1;0;0;1;0;0;2
Багряного І.;34;;female;0;1;0;1;2;1;0;5
Багряного І.;34а;;female;0;0;1;0;1;1;0;3
Багряного І.;35;;female;1;0;1;2;2;1;0;7
Багряного І.;36;;female;0;0;0;0;0;1;0;1
Багряного І.;39;;female;3;11;2;15;22;20;0;73
Багряного І.;4;;female;0;1;0;0;1;1;0;3
Багряного І.;46;;female;0;0;1;1;0;1;0;3
Багряного І.;48;;female;0;0;0;1;0;2;0;3
Багряного І.;49;;female;9;6;6;15;18;12;0;66
Багряного І.;50;;female;0;1;0;1;0;1;0;3
Багряного І.;52;;female;0;0;0;0;0;1;0;1
Багряного І.;53;;female;6;11;6;27;28;24;0;102
Багряного І.;59а;;female;0;0;0;0;0;0;0;0
Багряного І.;6;;female;0;0;0;0;0;1;0;1
Багряного І.;61;;female;0;0;0;1;1;1;0;3
Багряного І.;63;;female;0;0;0;1;0;1;0;2
Багряного І.;65;;female;0;0;0;1;1;0;0;2
Багряного І.;7;;female;0;0;0;0;0;1;0;1
Багряного І.;8;;female;0;1;0;2;4;1;0;8
Багряного І.;8а;;female;0;0;0;0;0;1;0;1
Багряного І.;9;;female;0;2;0;0;1;1;0;4
Бажана М. (Рясне);1;;female;0;0;0;1;1;1;0;3
Бажана М. (Рясне);10;;female;0;0;0;0;0;1;0;1
Бажана М. (Рясне);11;;female;0;0;0;0;1;0;0;1
Бажана М. (Рясне);12;;female;0;1;0;1;1;0;0;3
Бажана М. (Рясне);12а;;female;0;0;0;0;1;1;0;2
Бажана М. (Рясне);13;;female;0;0;0;1;1;1;0;3
Бажана М. (Рясне);14;;female;0;0;0;0;1;1;0;2
Бажана М. (Рясне);15;;female;0;0;0;1;1;0;0;2
Бажана М. (Рясне);16;;female;1;0;0;0;1;0;0;2
Бажана М. (Рясне);17;;female;1;0;0;2;1;0;0;4
Бажана М. (Рясне);18;;female;1;1;0;1;0;0;0;3
Бажана М. (Рясне);19;;female;0;0;0;1;1;1;0;3
Бажана М. (Рясне);2;;female;0;0;0;0;1;0;0;1
Бажана М. (Рясне);20;;female;0;0;0;1;1;1;0;3
Бажана М. (Рясне);21;;female;0;0;0;0;0;0;0;0
Бажана М. (Рясне);22;;female;2;0;0;1;2;0;0;5
Бажана М. (Рясне);23;;female;2;0;0;1;1;0;0;4
Бажана М. (Рясне);23а;;female;0;0;0;0;0;1;0;1
Бажана М. (Рясне);24;;female;1;0;0;0;1;0;0;2
Бажана М. (Рясне);25;;female;0;2;0;0;1;1;0;4
Бажана М. (Рясне);26;;female;0;0;0;0;0;1;0;1
Бажана М. (Рясне);27;;female;0;0;0;1;1;1;0;3
Бажана М. (Рясне);28;;female;0;0;0;0;0;0;0;0
